                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5005,                0.65268,                 1.2533,                0.48488,                0.64862,                0.68885,                0.38105,                 1.6119,                 1.8236,                 1.4566,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.4925,                0.64176,                 1.2363,                0.81962,                0.61926,                0.81197,                0.46404,                 1.5603,                 1.7357,                 1.4332,               0.009307,               0.009307,               0.009307
                     37,                 1.5107,                0.64967,                 1.2623,                0.87258,                0.76573,                0.85273,                0.46378,                 1.6549,                  1.363,                  1.483,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.4966,                0.63813,                 1.2524,                0.73592,                0.67988,                0.80736,                0.43849,                 1.6252,                 1.4634,                 1.4711,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.5046,                0.64598,                 1.2554,                0.70288,                  0.838,                0.86563,                0.51446,                  1.457,                 1.3933,                 1.3552,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.4961,                0.63065,                 1.2556,                0.79773,                0.79918,                0.86929,                0.46298,                 1.6319,                 1.5848,                  1.435,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.4956,                0.64249,                 1.2422,                 0.8424,                0.75275,                0.86241,                0.40962,                 1.9156,                 1.5418,                 1.6504,               0.009208,               0.009208,               0.009208
                     42,                 1.4828,                0.62624,                 1.2303,                0.74429,                 0.6954,                0.81654,                0.43426,                 1.7242,                  1.696,                 1.5358,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.4908,                0.62089,                 1.2407,                0.86335,                0.77243,                0.91395,                0.52621,                 1.5817,                 1.2268,                 1.4413,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.4855,                0.61925,                 1.2462,                0.81196,                0.63873,                0.71844,                0.43486,                 1.4846,                 1.8755,                 1.4224,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.4863,                0.62313,                 1.2475,                0.87655,                 0.7707,                0.84825,                0.48547,                 1.5778,                  1.366,                 1.4546,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.4973,                0.63098,                  1.255,                0.84991,                0.66614,                0.80616,                0.44004,                 1.6447,                 2.0288,                  1.503,               0.009109,               0.009109,               0.009109
                     47,                 1.4776,                0.62067,                 1.2518,                0.60311,                0.71544,                0.76589,                0.42537,                 1.6997,                 1.7635,                 1.5506,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.4745,                0.61577,                 1.2495,                 0.7532,                0.63271,                0.76339,                0.41236,                 1.7721,                 2.1269,                 1.5702,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.4724,                0.61057,                 1.2442,                0.76751,                0.65046,                0.74984,                0.43375,                 1.5687,                  1.851,                 1.4392,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.4825,                0.61164,                 1.2522,                  0.675,                 0.6807,                0.75613,                0.42239,                 1.6221,                 1.5853,                 1.4755,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.4711,                0.61637,                 1.2329,                0.76726,                0.81322,                0.91119,                0.49581,                 1.6618,                 1.2836,                 1.4652,                0.00901,                0.00901,                0.00901
                     52,                   1.47,                0.59961,                 1.2431,                0.75546,                0.85107,                0.92081,                0.44701,                 1.9001,                 1.2009,                 1.6324,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.4814,                0.61535,                 1.2394,                  0.741,                0.41798,                0.52977,                0.28509,                 1.8281,                 3.1601,                 1.6053,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.4631,                 0.6055,                 1.2403,                0.59327,                0.66644,                0.70283,                0.37029,                 1.7164,                 1.9672,                 1.5328,              0.0089506,              0.0089506,              0.0089506
                     55,                 1.4662,                0.60688,                 1.2355,                0.78068,                0.70954,                0.85509,                0.48454,                 1.5665,                 1.3371,                 1.4163,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.4677,                0.59988,                 1.2423,                0.75466,                0.74663,                0.82587,                0.45865,                 1.6045,                 1.3941,                 1.4751,               0.008911,               0.008911,               0.008911
                     57,                 1.4548,                0.59474,                 1.2276,                0.77242,                0.91237,                0.94339,                 0.4823,                 1.7884,                 1.0889,                 1.5984,              0.0088912,              0.0088912,              0.0088912
                     58,                 1.4769,                0.60204,                 1.2501,                0.85805,                0.66299,                 0.8064,                0.46738,                 1.5233,                  1.463,                 1.4125,              0.0088714,              0.0088714,              0.0088714
                     59,                 1.4641,                0.60509,                 1.2439,                0.74267,                0.79888,                0.86307,                0.46221,                 1.7514,                  1.277,                 1.5553,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.4725,                0.60021,                 1.2288,                0.64498,                0.79065,                0.82305,                 0.4525,                 1.6579,                 1.4632,                 1.5343,              0.0088318,              0.0088318,              0.0088318
                     61,                 1.4742,                0.60704,                 1.2418,                0.72817,                0.69478,                0.78388,                 0.3939,                 1.9178,                 1.7694,                 1.6419,               0.008812,               0.008812,               0.008812
                     62,                 1.4593,                0.59988,                 1.2348,                0.83719,                0.87356,                0.93012,                0.52453,                 1.6669,                 1.1644,                 1.5064,              0.0087922,              0.0087922,              0.0087922
                     63,                 1.4567,                0.60164,                 1.2263,                0.81283,                0.43312,                0.57012,                0.33452,                 1.5881,                 2.9998,                 1.4516,              0.0087724,              0.0087724,              0.0087724
