                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    138,                 1.3855,                0.53125,                 1.1936,                0.76991,                0.64548,                 0.7683,                0.40959,                 1.6807,                  1.684,                 1.5125,              0.0072874,              0.0072874,              0.0072874
                    139,                 1.3905,                0.53457,                 1.2013,                0.78341,                0.66351,                0.78517,                0.40728,                 1.7925,                  1.573,                 1.5893,              0.0072676,              0.0072676,              0.0072676
                    140,                 1.3868,                0.53925,                    1.2,                0.80717,                0.68167,                0.77006,                0.41595,                 1.7262,                 1.4642,                 1.5836,              0.0072478,              0.0072478,              0.0072478
                    141,                  1.385,                0.53607,                 1.1893,                0.90462,                0.71601,                0.84521,                0.44822,                 1.7108,                 1.2043,                 1.5555,               0.007228,               0.007228,               0.007228
                    142,                 1.3813,                0.53708,                 1.2047,                0.84376,                0.72454,                0.87976,                0.44185,                 1.8336,                 1.1053,                 1.6628,              0.0072082,              0.0072082,              0.0072082
                    143,                  1.389,                0.53503,                 1.1992,                0.82274,                0.76628,                0.83737,                0.42618,                 1.8366,                 1.2754,                 1.6657,              0.0071884,              0.0071884,              0.0071884
                    144,                 1.3931,                0.53035,                 1.2054,                0.79902,                0.63969,                0.76424,                0.35788,                 2.0372,                 1.6025,                 1.8128,              0.0071686,              0.0071686,              0.0071686
                    145,                 1.3888,                0.53406,                 1.2075,                0.84742,                 0.6478,                0.74454,                0.36006,                 1.9563,                 1.5539,                 1.7385,              0.0071488,              0.0071488,              0.0071488
                    146,                 1.3988,                0.53209,                 1.2013,                0.87727,                0.56845,                0.72158,                0.36934,                 1.7822,                 1.6882,                 1.6043,               0.007129,               0.007129,               0.007129
                    147,                 1.3892,                0.53272,                 1.2094,                0.87346,                0.71818,                0.81291,                0.43483,                 1.7329,                 1.3724,                 1.5921,              0.0071092,              0.0071092,              0.0071092
                    148,                 1.3929,                0.53261,                 1.2007,                0.77526,                0.68961,                0.75575,                0.35223,                 2.0563,                  1.575,                 1.8353,              0.0070894,              0.0070894,              0.0070894
                    149,                 1.3735,                0.53952,                 1.1991,                 0.7837,                0.69092,                0.75802,                0.37737,                 1.8254,                 1.3469,                 1.6463,              0.0070696,              0.0070696,              0.0070696
                    150,                 1.3757,                0.52961,                 1.1961,                0.71139,                0.71467,                0.74934,                0.39189,                 1.8087,                 1.4826,                 1.6201,              0.0070498,              0.0070498,              0.0070498
                    151,                 1.3676,                0.52377,                 1.1988,                0.71216,                0.76414,                0.80111,                0.44246,                  1.655,                 1.3001,                 1.5109,                0.00703,                0.00703,                0.00703
                    152,                   1.38,                0.52489,                 1.1954,                0.73226,                0.73146,                0.79169,                0.42834,                 1.6654,                 1.4497,                 1.5422,              0.0070102,              0.0070102,              0.0070102
                    153,                 1.3859,                 0.5392,                 1.1995,                0.79191,                0.65721,                 0.7848,                0.43123,                 1.7092,                 1.5468,                 1.5656,              0.0069904,              0.0069904,              0.0069904
                    154,                 1.3745,                0.52751,                 1.1924,                0.86324,                0.67238,                0.85551,                 0.4457,                 1.7617,                  1.264,                 1.6082,              0.0069706,              0.0069706,              0.0069706
                    155,                 1.3725,                0.52809,                  1.189,                0.68838,                0.73133,                 0.7825,                0.41992,                  1.673,                 1.5143,                 1.5849,              0.0069508,              0.0069508,              0.0069508
                    156,                 1.3812,                0.52773,                 1.2022,                0.83289,                0.78628,                 0.8626,                0.42586,                  1.893,                 1.2975,                 1.7019,               0.006931,               0.006931,               0.006931
                    157,                 1.3852,                0.53389,                 1.1911,                0.76501,                0.72315,                0.76471,                0.39832,                 1.7999,                 1.6158,                 1.6312,              0.0069112,              0.0069112,              0.0069112
                    158,                  1.378,                0.52558,                 1.1884,                0.64045,                0.76573,                0.78385,                0.39272,                 1.8613,                 1.3807,                 1.6884,              0.0068914,              0.0068914,              0.0068914
                    159,                 1.3819,                0.52518,                 1.1984,                0.69934,                0.71488,                0.76678,                0.38589,                 1.8055,                 1.4994,                 1.6526,              0.0068716,              0.0068716,              0.0068716
                    160,                 1.3754,                0.52404,                 1.1987,                0.68666,                0.71746,                0.79283,                  0.418,                  1.733,                 1.5893,                 1.5815,              0.0068518,              0.0068518,              0.0068518
                    161,                 1.3646,                0.51998,                 1.1795,                0.62488,                0.73071,                0.76283,                0.41396,                 1.7182,                 1.4924,                 1.5811,               0.006832,               0.006832,               0.006832
                    162,                 1.3832,                0.52534,                  1.199,                0.67147,                0.72882,                0.82872,                0.42913,                 1.7564,                 1.4444,                  1.588,              0.0068122,              0.0068122,              0.0068122
